"","sorted_reads.bam"
"105243697",1
"105243698",0
"105243700",3
"105243701",7
"105243704",9
"105243706",0
"105243708",1
"105243712",0
"105243714",7
"105243722",0
"105243723",7
"105243724",0
"105243725",0
"105243726",0
"105243727",2
"105243729",9
"105243732",0
"105243734",0
"105243735",8
"105243737",12
"105243738",1
"105243739",27
"105243740",0
"105243742",0
"105243743",0
"105243749",0
"105243761",4
"105243765",0
"105243769",1
"105243774",5
"105243777",0
"105243791",0
"105243794",3
"105243797",0
"105243808",0
"105243814",0
"105243816",13
"105243825",0
"105243828",0
"105243834",0
"105243850",0
"105243851",0
"105243852",0
"105243854",0
"105243858",7
"105243859",1
"105243860",0
"105243861",0
"105243864",0
"105243865",0
"105243866",168
"105243867",0
"105243874",0
"105243875",0
"105243876",0
"105243877",71
"105243878",8
"105243879",3
"105243880",18
"105243881",0
"105243882",2
"105243883",0
"105243885",0
"105243887",0
"105243888",0
"105243889",0
"105243890",0
"105243891",13
"105243892",0
"105243893",9
"105243894",23
"105243895",7
"105243896",0
"105243901",0
"105243902",0
"105243903",1
"105243904",0
"105243905",21
"105243907",0
"105243908",6
"105243912",0
"105243914",2
"105243915",11
"105243917",0
"105243918",0
"105243920",5
"105243921",11
"105243922",0
"105243923",0
"105243926",3
"105243928",1
"105243931",0
"105243932",0
"105243934",18
"105243936",0
"105243937",2
"105243938",25
"105243939",0
"105243940",0
"105243942",14
"105243943",0
"105243944",3
"105243945",3
"105243947",0
"105243950",0
"105243951",0
"105243952",0
"105243953",0
"105243954",1
"105243955",3
"105243956",0
"105243957",0
"105243958",0
"105243959",0
"105243960",2
"105243961",18
"105243964",7
"105243965",5
"105243970",1
"105243972",0
"105243973",57
"105243974",0
"105243975",10
"105243976",3
"105243978",0
"105243982",0
"105243983",0
"105243984",0
"105243987",0
"105243989",0
"105243990",0
"105243991",0
"105243992",0
"105243993",1
"105243994",0
"105243995",2
"105243996",1
"105243997",0
"105243998",2
"105243999",0
"105244001",0
"105244002",5
"105244006",13
"105244007",74
"105244010",0
"105244011",46
"105244013",0
"105244015",0
"105244018",0
"105244022",1
"105244023",7
"105244024",19
"105244025",0
"105244026",1
"105244027",0
"105244028",0
"105244029",0
"105244030",2
"105244031",7
"105244033",0
"105244034",250
"105244040",0
"105244041",0
"105244044",0
"105244045",0
"105244048",0
"105244049",0
"105244050",0
"105244053",0
"105244054",0
"105244055",0
"105244056",1
"105244060",35
"105244062",0
"105244066",0
"105244068",19
"105244069",25
"105244070",2
"105244072",0
"105244073",9
"105244074",102
"105244077",0
"105244081",0
"105244082",0
"105244083",0
"105244084",2
"105244085",1
"105244090",0
"105244092",4
"105244093",2
"105244095",3
"105244096",0
"105244098",0
"105244099",0
"105244100",0
"105244102",52
"105244103",0
"105244104",0
"105244107",0
"105244108",0
"105244110",5
"105244111",0
"105244113",16
"105244115",3
"105244117",64
"105244118",7
"105244119",18
"105244120",2
"105244121",0
"105244123",1
"105244124",10
"105244125",0
"105244126",0
"105244127",16
"105244129",0
"105244130",30
"105244132",2
"105244134",0
"105244136",0
"105244137",86
"105244138",4
"105244139",0
"105244140",4
"105244142",0
"105244145",0
"105244146",0
"105244149",0
"105244151",0
"105244153",0
"105244154",0
"105244156",1
"105244157",0
"105244158",0
"105244159",2
"105244160",0
"105244161",0
"105244162",118
"105244165",0
"105244168",13
"105244170",2
"105244172",8
"105244173",2
"105244177",6
"105244178",0
"105244180",0
"105244181",0
"105244182",0
"105244184",5
"105244186",0
"105244188",0
"105244189",2
"105244190",2
"105244191",0
"105244193",0
"105244194",0
"105244197",0
"105244198",0
"105244199",0
"105244200",1
"105244201",0
"105244202",0
"105244203",0
"105244204",0
"105244206",0
"105244207",12
"105244208",4053
"105244209",0
"105244210",24
"105244212",25
"105244213",10
"105244216",0
"105244217",0
"105244218",0
"105244219",0
"105244221",0
"105244222",4
"105244223",2
"105244224",0
"105244225",4
"105244227",3
"105244229",76
"105244230",0
"105244235",4
"105244236",0
"105244237",2
"105244238",0
"105244239",0
"105244241",9
"105244242",68
"105244243",1
"105244244",38
"105244245",0
"105244247",0
"105244251",39
"105244253",0
"105244254",0
"105244256",3
"105244258",0
"105244259",0
"105244261",3
"105244262",5
"105244263",2
"105244264",0
"105244267",20
"105244268",2
"105244269",0
"105244270",0
"105244271",0
"105244272",6
"105244273",0
"105244276",0
"105244278",16
"105244279",0
"105244280",0
"105244283",2
"105244288",0
"105244289",0
"105244290",0
"105244292",8
"105244293",3
"105244294",5
"105244297",5
"105244299",7
"105244301",4
"105244303",0
"105244304",0
"105244305",0
"105244306",11
"105244307",1
"105244309",2
"105244310",0
"105244317",11
"105244318",17
"105244320",11
"105244321",0
"105244322",0
"105244323",1
"105244326",0
"105244327",3
"105244328",0
"105244329",1
"105244330",0
"105244331",1
"105244332",4
"105244333",8
"105244335",0
"105244336",1
"105244341",0
"105244346",0
"105244348",0
"105244357",2
"105244359",0
"105244361",0
"105244362",0
"105244365",2
"105244367",1
"105244368",1
"105244369",0
"105244370",1
"105244371",3
"105244373",0
"105244374",0
"105244375",1
"105244380",0
"105244381",0
"105244382",0
"105244383",0
"105244384",0
"105244386",0
"105244387",0
"105244388",3
"105244389",1
"105244390",0
"105244391",2
"105244392",0
"105244400",0
"105244402",6
"105244403",1
"105244406",0
"105244413",57
"105244414",0
"105244415",1
"105244417",0
"105244418",1
"105244420",1
"105244421",0
"105244422",0
"105244423",0
"105244424",0
"105244425",0
"105244426",0
"105244427",8
"105244429",0
"105244430",1
"105244431",0
"105244434",0
"105244435",2
"105244436",7
"105244437",0
"105244440",3
"105244441",0
"105244443",0
"105244445",0
"105244446",4
"105244447",0
"105244449",49
"105244450",87
"105244451",1
"105244453",7
"105244456",1
"105244457",4
"105244458",3
"105244459",0
"105244461",0
"105244464",0
"105244465",0
"105244467",0
"105244468",0
"105244469",0
"105244470",0
"105244473",0
"105244474",0
"105244477",23
"105244478",0
"105244479",2
"105244481",0
"105244482",0
"105244483",0
"105244484",0
"105244485",0
"105244486",0
"105244487",234
"105244492",1
"105244493",0
"105244494",31
"105244496",0
"105244497",1
"105244498",12
"105244499",1
"105244500",0
"105244502",0
"105244504",1
"105244505",1
"105244507",0
"105244508",2
"105244509",0
"105244510",0
"105244511",0
"105244512",4
"105244513",0
"105244514",0
"105244515",0
"105244516",0
"105244518",0
"105244519",0
"105244522",3
"105244524",0
"105244526",1
"105244527",7
"105244528",2
"105244530",14
"105244531",1
"105244532",0
"105244533",4
"105244535",1
"105244537",0
"105244538",0
"105244540",0
"105244541",0
"105244544",0
"105244545",0
"105244547",0
"105244550",0
"105244551",0
"105244552",12
"105244553",0
"105244554",0
"105244555",0
"105244556",0
"105244557",22
"105244558",0
"105244560",0
"105244562",0
"105244563",0
"105244565",2
"105244566",5
"105244567",0
"105244568",0
"105244570",0
"105244571",1
"105244573",10
"105244574",9
"105244576",0
"105244578",0
"105244579",0
"105244580",0
"105244581",0
"105244582",0
"105244583",0
"105244584",0
"105244587",0
"105244588",3
"105244589",116
"105244591",2
"105244592",0
"105244594",0
"105244595",12
"105244596",0
"105244600",14
"105244601",9
"105244602",0
"105244603",0
"105244605",29
"105244610",0
"105244615",0
"105244619",7
"105244620",0
"105244621",0
"105244622",0
"105244623",0
"105244624",0
"105244625",1
"105244626",0
"105244627",0
"105244629",0
"105244630",2
"105244631",0
"105244634",3
"105244635",0
"105244639",1
"105244640",0
"105244641",0
"105244642",1
"105244644",26
"105244646",1
"105244648",0
"105244649",38
"105244650",0
"105244653",2
"105244654",0
"105244655",0
"105244658",1
"105244659",0
"105244660",3
"105244662",26
"105244664",3
"105244666",32
"105244667",14
"105244669",11
"105244671",0
"105244672",3
"105244675",1
"105244676",0
"105244677",11
"105244679",1
"105244680",0
"105244682",0
"105244683",0
"105244684",0
"105244685",0
"105244687",0
"105244689",0
"105244690",0
"105244693",3
"105244694",0
"105244695",0
"105244696",5
"105244698",7
"105244699",8
"105244700",0
"105244701",10
"105244702",0
"105244703",12
"105244705",0
"105244708",0
"105244712",3
"105244713",0
"105244714",0
"105244717",0
"105244719",0
"105244720",9
"105244723",6
"105244725",0
"105244726",0
"105244728",0
"105244729",12
"105244730",0
"105244731",0
"105244732",8
"105244735",0
"105244736",0
"105244738",0
"105244739",1
"105244740",2
"105244741",0
"105244742",0
"105244743",1
"105244744",0
"105244745",0
"105244746",22
"105244747",0
"105244748",3
"105244749",3
"105244751",0
"105244752",0
"105244753",0
"105244755",22
"105244756",67
"105244757",0
"105244759",0
"105244761",2
"105244762",0
"105244764",0
"105244768",20
"105244769",0
"105244771",0
"105244772",0
"105244773",2
"105244775",1
"105244776",0
"105244777",0
"105244778",0
"105244779",249
"105244780",3
"105244781",0
"105244784",0
"105244786",9
"105244787",1
"105244788",9
"105244789",2
"105244790",0
"105244793",0
"105244797",8
"105244798",1
"105244799",11
"105244800",0
"105244801",21
"105244802",0
"105244807",0
"105244808",4
"105244811",2
"105244813",1
"105244814",1
"105244821",1
"105244822",2
"105244824",0
"105244825",1
"105244826",116
"105244828",163
"105244829",191
"105244831",146
"105244833",174
"105244835",8
"105244836",0
"105244838",0
"105244840",0
"105244841",2
"105244843",0
"105244844",3
"105244847",3
"105244849",0
"105244850",0
"105244851",0
"105244852",1
"105244853",0
"105244854",0
"105244857",0
"105244859",0
"105244861",0
"105244862",0
"105244866",0
"105244868",1
"105244870",10
"105244871",24
"105244872",1
"105244873",0
"105244875",3
"105244876",0
"105244879",17
"105244881",0
"105244883",0
"105244884",0
"105244888",0
"105244890",2
"105244891",33
"105244893",0
"105244894",3
"105244895",2
"105244898",0
"105244899",0
"105244902",0
"105244903",4
"105244904",13
"105244906",0
"105244907",0
"105244911",0
"105244912",2
"105244913",0
"105244914",0
"105244915",0
"105244916",0
"105244917",0
"105244918",0
"105244919",0
"105244920",0
"105244921",21
"105244922",11
"105244923",0
"105244924",0
"105244925",0
"105244926",7
"105244927",1
"105244928",0
"105244929",8
"105244930",0
"105244931",22
"105244932",2
"105244935",0
"105244938",0
"105244940",141
"105244941",0
"105244942",0
"105244946",45
"105244947",7
"105244955",0
"105244956",177
"105244958",16
"105244959",0
"105244960",0
"105244963",0
"105244965",0
"105244966",0
"105244967",0
"105244968",0
"105244969",0
"105244973",2
"105244974",0
"105244975",48
"105244981",2
"105244984",4
"105244988",0
"105244991",0
"105244992",0
"105244993",9
"105244994",0
"105244998",2
"105245",1718
"105245000",4
"105245001",1
"105245003",244
"105245005",9
"105245008",2
"105245009",14
"105245013",1
"105245014",8
"105245015",0
"105245017",2
"105245019",0
"105245022",3
"105245023",57
"105245024",0
"105245025",1
"105245027",0
"105245030",0
"105245031",0
"105245032",23
"105245033",0
"105245034",1
"105245035",0
"105245037",20
"105245039",0
"105245040",0
"105245041",0
"105245043",3
"105245044",0
"105245048",24
"105245049",0
"105245053",0
"105245054",0
"105245059",16
"105245061",0
"105245066",0
"105245067",0
"105245070",0
"105245071",20
"105245072",0
"105245073",0
"105245074",48
"105245075",0
"105245076",313
"105245077",0
"105245082",9
"105245085",0
"105245087",3
"105245088",0
"105245092",0
"105245093",0
"105245094",8
"105245096",37
"105245097",8
"105245107",1
"105245108",0
"105245109",5
"105245110",0
"105245113",0
"105245114",0
"105245116",0
"105245118",2
"105245120",0
"105245121",0
"105245122",3
"105245123",1
"105245124",2
"105245127",1
"105245128",0
"105245129",0
"105245130",0
"105245134",0
"105245137",4
"105245138",0
"105245139",0
"105245141",0
"105245142",0
"105245143",1
"105245144",1
"105245145",0
"105245146",0
"105245147",0
"105245149",0
"105245151",3
"105245152",0
"105245153",0
"105245154",0
"105245155",13
"105245156",3
"105245157",0
"105245158",0
"105245159",0
"105245160",4
"105245162",2
"105245163",0
"105245164",0
"105245165",1
"105245166",0
"105245168",0
"105245169",0
"105245170",0
"105245171",0
"105245172",0
"105245175",0
"105245176",0
"105245177",1
"105245181",0
"105245182",4
"105245183",1
"105245184",0
"105245185",0
"105245187",0
"105245190",0
"105245191",0
"105245192",0
"105245193",0
"105245194",0
"105245195",0
"105245197",0
"105245198",0
"105245199",0
"105245201",0
"105245203",0
"105245205",2
"105245206",1
"105245207",3
"105245209",0
"105245211",94
"105245213",1
"105245214",0
"105245215",0
"105245219",3
"105245220",0
"105245221",4
"105245222",11
"105245225",6
"105245228",0
"105245229",50
"105245231",6
"105245232",0
"105245236",9
"105245239",52
"105245243",3
"105245244",1
"105245246",0
"105245247",0
"105245248",0
"105245249",1
"105245251",0
"105245252",1
"105245253",0
"105245255",241
"105245258",0
"105245260",0
"105245261",1
"105245262",0
"105245263",2
"105245264",0
"105245265",3
"105245266",1
"105245268",0
"105245269",0
"105245270",0
"105245271",0
"105245272",5
"105245273",17
"105245274",0
"105245275",0
"105245276",0
"105245279",3
"105245281",3
"105245284",3
"105245285",3
"105245287",0
"105245288",0
"105245289",0
"105245290",2
"105245291",0
"105245292",1
"105245293",0
"105245294",0
"105245298",0
"105245300",2
"105245301",0
"105245302",0
"105245303",0
"105245305",6
"105245306",5
"105245307",12
"105245308",0
"105245309",0
"105245310",5
"105245312",0
"105245315",0
"105245316",0
"105245318",0
"105245319",0
"105245320",0
"105245321",0
"105245322",0
"105245323",30
"105245324",9
"105245325",2
"105245327",0
"105245328",6
"105245330",0
"105245331",0
"105245338",5
"105245342",64
"105245344",0
"105245348",27
"105245350",0
"105245351",2
"105245356",3
"105245357",50
"105245359",9
"105245363",0
"105245364",0
"105245366",0
"105245367",0
"105245369",70
"105245370",0
"105245372",0
"105245374",0
"105245375",1611
"105245377",0
"105245381",16
"105245382",9
"105245383",9
"105245386",0
"105245391",13
"105245392",0
"105245393",3
"105245394",0
"105245398",6
"105245401",6
"105245406",7
"105245408",0
"105245412",4
"105245413",1
"105245414",2
"105245415",0
"105245416",0
"105245417",0
"105245418",0
"105245423",17
"105245424",4
"105245428",18
"105245433",5
"105245434",2
"105245436",0
"105245437",4
"105245440",2
"105245444",0
"105245445",0
"105245446",0
"105245451",0
"105245452",0
"105245454",0
"105245455",0
"105245458",0
"105245459",0
"105245461",0
"105245463",6
"105245464",1
"105245465",1
"105245466",0
"105245467",0
"105245468",0
"105245469",0
"105245472",0
"105245473",0
"105245474",0
"105245475",0
"105245476",0
"105245481",3
"105245482",0
"105245483",0
"105245484",1
"105245485",0
"105245486",0
"105245487",39
"105245488",0
"105245490",0
"105245492",0
"105245494",0
"105245495",0
"105245498",1
"105245499",0
"105245500",0
"105245502",0
"105245504",0
"105245506",7
"105245507",0
"105245508",5
"105245512",0
"105245513",1
"105245515",0
"105245516",0
"105245518",26
"105245520",0
"105245522",3
"105245526",0
"105245530",0
"105245531",0
"105245536",1
"105245537",0
"105245538",0
"105245541",0
"105245542",0
"105245543",0
"105245544",0
"105245545",0
"105245549",0
"105245550",0
"105245552",27
"105245553",0
"105245554",0
"105245555",0
"105245556",0
"105245557",0
"105245558",1
"105245559",13
"105245561",1
"105245562",1
"105245563",4
"105245564",4
"105245565",0
"105245567",6
"105245568",2
"105245570",137
"105245571",158
"105245572",0
"105245573",0
"105245574",0
"105245576",7
"105245577",0
"105245580",0
"105245586",45
"105245587",0
"105245588",5
"105245589",0
"105245590",0
"105245592",7
"105245593",74
"105245595",0
"105245596",2
"105245597",0
"105245598",242
"105245599",3
"105245600",0
"105245601",0
"105245602",3
"105245605",4
"105245608",5
"105245610",0
"105245612",5
"105245613",0
"105245614",0
"105245615",1
"105245616",5
"105245617",0
"105245618",0
"105245619",0
"105245620",0
"105245624",0
"105245625",3
"105245626",13
"105245627",2
"105245628",0
"105245629",0
"105245630",7
"105245631",0
"105245632",0
"105245633",0
"105245634",2
"105245635",0
"105245637",1
"105245639",0
"105245641",88
"105245642",0
"105245643",1
"105245644",7
"105245646",0
"105245647",1
"105245648",1
"105245650",79
"105245653",1
"105245663",0
"105245664",0
"105245666",0
"105245668",0
"105245669",0
"105245673",2
"105245674",0
"105245675",0
"105245676",0
"105245678",0
"105245679",8
"105245680",0
"105245681",16
"105245682",1
"105245684",4
"105245688",0
"105245689",0
"105245692",0
"105245694",0
"105245695",1
"105245697",46
"105245698",0
"105245699",0
"105245700",5
"105245701",10
"105245702",3
"105245706",5
"105245710",0
"105245713",0
"105245717",1
"105245719",0
"105245724",1
"105245727",0
"105245730",1
"105245732",0
"105245737",0
"105245740",0
"105245742",0
"105245743",0
"105245744",0
"105245745",4
"105245746",5
"105245747",0
"105245748",0
"105245749",0
"105245750",2
"105245754",0
"105245759",0
"105245762",0
"105245764",0
"105245766",3
"105245768",0
"105245769",0
"105245771",3
"105245772",32
"105245773",0
"105245775",0
"105245776",0
"105245777",3
"105245779",1
"105245780",16
"105245781",8
"105245782",16
"105245784",0
"105245786",0
"105245789",14
"105245790",5
"105245791",1
"105245792",1
"105245795",0
"105245797",0
"105245798",2
"105245799",1
"105245800",0
"105245801",7
"105245802",0
"105245804",2
"105245807",2
"105245808",0
"105245813",0
"105245814",3
"105245815",2
"105245816",0
"105245817",0
"105245818",0
"105245819",1
"105245820",16
"105245822",1
"105245824",0
"105245825",16
"105245827",2
"105245828",0
"105245829",0
"105245830",0
"105245832",0
"105245833",0
"105245836",0
"105245837",0
"105245839",0
"105245841",2
"105245842",3
"105245843",0
"105245844",2
"105245845",0
"105245846",0
"105245847",0
"105245848",0
"105245849",0
"105245850",0
"105245851",0
"105245852",0
"105245853",0
"105245854",0
"105245855",2
"105245857",0
"105245858",0
"105245859",1
"105245861",5
"105245862",10
"105245863",1
"105245864",1
"105245865",328
"105245866",18
"105245869",6
"105245870",5
"105245871",0
"105245872",0
"105245873",24
"105245874",1
"105245875",5
"105245876",0
"105245879",0
"105245880",0
"105245881",0
"105245883",18
"105245886",0
"105245887",0
"105245890",0
"105245891",0
"105245892",0
"105245893",0
"105245895",0
"105245896",0
"105245897",0
"105245898",0
"105245901",0
"105245904",85
"105245905",52
"105245906",3
"105245909",0
"105245910",0
"105245911",20
"105245912",6
"105245913",4
"105245914",0
"105245916",0
"105245917",2
"105245918",0
"105245919",0
"105245920",0
"105245921",10
"105245922",0
"105245923",0
"105245924",3
"105245925",7
"105245926",12
"105245927",216
"105245928",2
"105245929",2
"105245930",4
"105245931",0
"105245938",8
"105245939",0
"105245940",0
"105245941",3
"105245942",4
"105245943",0
"105245944",7
"105245945",0
"105245946",0
"105245948",1
"105245949",1
"105245950",0
"105245953",0
"105245954",0
"105245956",0
"105245958",0
"105245960",3
"105245962",0
"105245963",0
"105245964",0
"105245965",2
"105245967",7
"105245968",0
"105245969",7
"105245970",0
"105245971",1
"105245974",4
"105245975",46
"105245978",8
"105245979",0
"105245980",2
"105245981",36
"105245982",15
"105245984",9
"105245985",0
"105245987",1
"105245991",10
"105245992",0
"105245994",160
"105245995",1
"105245996",4
"105245999",0
"105246",2966
"105246001",5
"105246003",6
"105246005",3
"105246007",0
"105246008",6
"105246009",0
"105246010",0
"105246011",0
"105246016",29
"105246018",71
"105246020",15
"105246023",0
"105246024",0
"105246025",0
"105246026",0
"105246030",0
"105246031",7
"105246032",0
"105246033",18
"105246034",17
"105246035",26
"105246037",0
"105246038",0
"105246040",0
"105246041",27
"105246042",1
"105246043",2
"105246044",0
"105246045",0
"105246046",0
"105246047",2
"105246049",72
"105246056",62
"105246058",1
"105246059",2
"105246062",52
"105246064",11
"105246066",0
"105246068",2
"105246069",1
"105246070",8
"105246071",7
"105246073",11
"105246075",0
"105246076",0
"105246077",3
"105246080",0
"105246081",0
"105246082",1
"105246083",0
"105246084",12
"105246085",0
"105246086",15
"105246087",4
"105246089",0
"105246091",0
"105246092",0
"105246095",1
"105246096",0
"105246097",0
"105246099",187
"105246100",1
"105246104",0
"105246105",37
"105246106",1
"105246108",26
"105246109",0
"105246110",1
"105246111",2
"105246112",0
"105246114",98
"105246117",1
"105246118",3
"105246120",15
"105246121",0
"105246122",5
"105246123",0
"105246124",7
"105246126",2
"105246130",0
"105246131",0
"105246132",0
"105246133",0
"105246136",0
"105246140",0
"105246143",0
"105246144",0
"105246145",0
"105246146",0
"105246147",0
"105246148",0
"105246149",0
"105246150",2
"105246151",15
"105246152",0
"105246153",0
"105246155",3
"105246158",2
"105246161",1
"105246162",6
"105246163",0
"105246164",8
"105246165",0
"105246167",61
"105246170",15
"105246172",0
"105246173",3
"105246174",0
"105246175",0
"105246176",10
"105246178",4
"105246179",0
"105246181",0
"105246182",0
"105246183",0
"105246185",0
"105246186",2
"105246190",2
"105246192",9
"105246193",1
"105246195",2
"105246216",0
"105246218",1
"105246219",2
"105246220",0
"105246221",1
"105246223",0
"105246225",1
"105246226",0
"105246227",0
"105246229",2
"105246231",6
"105246233",4
"105246234",0
"105246235",10
"105246237",1
"105246238",0
"105246241",77
"105246243",0
"105246244",0
"105246245",17
"105246246",0
"105246247",0
"105246248",20
"105246249",45
"105246251",15
"105246253",0
"105246254",3
"105246255",0
"105246256",0
"105246257",0
"105246258",0
"105246260",31
"105246261",0
"105246262",2
"105246268",0
"105246269",0
"105246270",0
"105246271",0
"105246273",2
"105246275",1
"105246276",0
"105246277",3
"105246278",786
"105246280",1
"105246281",1
"105246284",39
"105246285",0
"105246286",22
"105246287",0
"105246290",0
"105246293",0
"105246294",12
"105246296",2
"105246297",0
"105246299",8
"105246300",5
"105246303",39
"105246304",70
"105246305",0
"105246306",21
"105246307",33
"105246308",1
"105246309",2
"105246311",1
"105246313",0
"105246314",1
"105246318",3
"105246320",4
"105246321",1
"105246323",0
"105246324",0
"105246325",0
"105246328",4
"105246330",0
"105246334",45
"105246336",0
"105246337",0
"105246339",2
"105246341",0
"105246343",1
"105246344",0
"105246347",0
"105246349",3
"105246353",0
"105246358",0
"105246359",12
"105246360",0
"105246363",73
"105246364",0
"105246365",7
"105246366",13
"105246367",8
"105246368",0
"105246369",0
"105246370",3
"105246371",1
"105246374",0
"105246376",0
"105246377",8
"105246378",0
"105246379",0
"105246380",22
"105246381",0
"105246386",0
"105246387",0
"105246391",0
"105246392",0
"105246394",2
"105246396",16
"105246398",0
"105246399",0
"105246400",0
"105246401",1
"105246402",5
"105246403",1
"105246404",6
"105246406",3
"105246407",0
"105246410",13
"105246412",1
"105246413",5
"105246414",1
"105246417",0
"105246418",1
"105246420",0
"105246423",7
"105246424",0
"105246425",0
"105246426",1
"105246427",0
"105246428",0
"105246430",0
"105246431",0
"105246432",0
"105246433",0
"105246434",0
"105246435",0
"105246436",0
"105246438",0
"105246439",1
"105246440",0
"105246441",0
"105246442",0
"105246444",2
"105246445",4
"105246447",0
"105246449",7
"105246452",5
"105246454",44
"105246455",1
"105246458",16
"105246459",0
"105246461",0
"105246462",1
"105246464",0
"105246465",3
"105246466",4
"105246467",0
"105246468",0
"105246469",0
"105246471",192
"105246472",0
"105246473",0
"105246474",0
"105246477",0
"105246480",0
"105246481",1
"105246482",1
"105246483",1
"105246485",0
"105246487",0
"105246488",0
"105246489",3
"105246491",2
"105246493",1
"105246494",0
"105246496",25
"105246500",5
"105246501",22
"105246505",0
"105246506",9
"105246507",0
"105246509",0
"105246511",0
"105246514",55
"105246515",1
"105246516",0
"105246517",0
"105246519",5
"105246521",0
"105246529",62
"105246530",0
"105246531",0
"105246532",0
"105246536",2
"105246537",0
"105246538",0
"105246539",0
"105246540",0
"105246541",0
"105246542",6
"105246544",0
"105246547",1
"105246549",4
"105246550",0
"105246555",60
"105246558",2
"105246561",4
"105246562",11
"105246565",2
"105246569",5
"105246571",71
"105246572",40
"105246573",1
"105246574",17
"105246576",0
"105246577",53
"105246578",0
"105246579",0
"105246580",0
"105246582",0
"105246583",0
"105246585",1
"105246587",6
"105246588",11
"105246590",0
"105246591",149
"105246592",0
"105246595",0
"105246596",1
"105246597",0
"105246602",0
"105246606",0
"105246609",1
"105246610",15
"105246611",6
"105246612",0
"105246613",0
"105246614",6
"105246615",2
"105246617",3
"105246625",0
"105246626",0
"105246627",11
"105246629",0
"105246632",2
"105246634",0
"105246635",0
"105246637",0
"105246642",13
"105246644",6
"105246647",4
"105246649",2
"105246650",1
"105246651",0
"105246652",0
"105246653",0
"105246654",2
"105246655",0
"105246657",26
"105246658",12
"105246660",7
"105246662",0
"105246663",0
"105246665",7
"105246666",7
"105246671",0
"105246672",0
"105246673",0
"105246674",0
"105246675",3
"105246676",5
"105246678",6
"105246679",1
"105246680",0
"105246682",0
"105246684",0
"105246686",0
"105246687",0
"105246688",0
"105246689",0
"105246690",0
"105246691",0
"105246692",0
"105246693",0
"105246694",31
"105246696",3
"105246698",7
"105246700",11
"105246702",51
"105246703",0
"105246704",0
"105246706",0
"105246707",2
"105246708",10
"105246709",0
"105246710",1
"105246711",0
"105246712",0
"105246714",30
"105246715",3
"105246717",1
"105246720",0
"105246721",0
"105246722",0
"105246723",0
"105246724",4
"105246725",0
"105246727",0
"105246728",0
"105246732",2
"105246734",0
"105246735",8
"105246737",4
"105246738",14
"105246739",0
"105246745",3
"105246746",0
"105246747",0
"105246749",0
"105246751",2
"105246754",0
"105246755",0
"105246756",0
"105246757",1
"105246758",0
"105246762",0
"105246763",5
"105246765",7
"105246766",0
"105246768",6
"105246769",32
"105246770",2
"105246771",0
"105246772",0
"105246773",8
"105246774",1
"105246776",1
"105246777",0
"105246778",0
"105246779",0
"105246780",0
"105246781",0
"105246782",13
"105246785",0
"105246802",3
"105246804",81
"105246805",6
"105246806",0
"105246807",27
"105246808",0
"105246810",0
"105246813",3
"105246816",0
"105246817",4
"105246819",1
"105246821",0
"105246822",0
"105246830",4
"105246832",130
"105246837",0
"105246838",0
"105246843",1
"105246846",35
"105246847",7
"105246848",3
"105246860",2
"105246862",8
"105246866",0
"105246867",1
"105246870",0
"105246874",0
"105246875",0
"105246878",6
"105246880",4
"105246883",0
"105246884",0
"105246886",1
"105246887",14
"105246889",0
"105246890",1
"105246891",3
"105246893",1
"105246894",5
"105246895",22
"105246897",0
"105246899",0
"105246900",0
"105246901",0
"105246907",0
"105246910",0
"105246912",2
"105246913",0
"105246914",23
"105246915",7
"105246916",0
"105246917",0
"105246918",2
"105246921",0
"105246923",0
"105246926",0
"105246927",0
"105246928",1
"105246931",1
"105246932",1
"105246933",131
"105246934",0
"105246935",0
"105246937",1
"105246938",0
"105246940",11
"105246941",0
"105246942",0
"105246944",0
"105246945",11
"105246948",8
"105246951",0
"105246953",0
"105246954",3
"105246956",2
"105246957",6
"105246959",20
"105246961",489
"105246964",29
"105246965",9
"105246966",1
"105246968",8
"105246972",3
"105246973",88
"105246975",2
"105246980",0
"105246981",0
"105246982",0
"105246983",0
"105246984",0
"105246985",0
"105246987",0
"105246988",0
"105246989",0
"105246991",0
"105246993",0
"105246994",0
"105246995",0
"105246998",0
"105246999",1
"105247001",0
"105247002",117
"105247004",7
"105247005",34
"105247006",0
"105247007",0
"105247008",1
"105247010",0
"105247011",0
"105247012",2
"105247013",0
"105247015",0
"105247016",0
"105247019",0
"105247021",2
"105247022",0
"105247026",0
"105247027",0
"105247028",0
"105247029",0
"105247031",0
"105247032",0
"105247033",0
"105247034",0
"105247035",0
"105247037",0
"105247041",0
"105247043",2
"105247044",0
"105247046",1
"105247048",42
"105247049",9
"105247050",72
"105247052",0
"105247054",2
"105247056",0
"105247057",0
"105247059",2
"105247060",0
"105247062",5
"105247065",0
"105247069",0
"105247070",9
"105247072",12
"105247076",0
"105247078",15
"105247090",0
"105247092",0
"105247093",2
"105247096",0
"105247098",2
"105247099",0
"105247101",4
"105247102",2
"105247105",1
"105247106",0
"105247108",0
"105247111",14
"105247112",1
"105247113",0
"105247115",0
"105247116",158
"105247122",0
"105247124",5
"105247126",0
"105247127",0
"105247128",0
"105247129",1
"105247132",0
"105247133",0
"105247134",13
"105247135",0
"105247136",6
"105247137",0
"105247138",0
"105247139",0
"105247140",0
"105247141",0
"105247144",1
"105247145",2
"105247146",0
"105247147",0
"105247148",0
