"","sorted_reads_SRR14114310.bam"
"102632164",0
"102632165",6
"102632167",4
"102632170",2
"102632172",0
"102632174",1
"102632176",0
"102632177",6
"102632178",16
"102632179",0
"102632184",0
"102632187",1
"102632190",0
"102632191",0
"102632192",0
"102632195",6
"102632197",0
"102632198",0
"102632199",5
"102632200",118
"102632204",0
"102632206",0
"102632210",0
"102632211",0
"102632212",3
"102632216",0
"102632222",0
"102632224",0
"102632225",1
"102632227",0
"102632228",6
"102632229",0
"102632230",4
"102632231",262
"102632232",35
"102632233",0
"102632234",2
"102632236",1
"102632237",0
"102632238",73
"102632240",0
"102632241",4
"102632242",6
"102632244",16
"102632246",0
"102632247",0
"102632248",0
"102632251",0
"102632253",1
"102632256",0
"102632262",40
"102632265",0
"102632266",2
"102632268",67
"102632270",0
"102632272",15
"102632273",0
"102632274",0
"102632275",0
"102632276",0
"102632284",23
"102632286",16
"102632287",1
"102632292",0
"102632293",0
"102632296",3
"102632297",11
"102632299",0
"102632301",0
"102632302",0
"102632305",0
"102632307",0
"102632308",0
"102632311",0
"102632312",0
"102632313",37
"102632315",2
"102632317",6
"102632318",0
"102632324",0
"102632331",7
"102632333",0
"102632336",0
"102632338",1
"102632339",3
"102632340",129
"102632341",0
"102632344",0
"102632345",1
"102632346",0
"102632347",0
"102632348",18
"102632350",0
"102632353",5
"102632354",0
"102632357",7
"102632359",1
"102632360",0
"102632361",1
"102632362",0
"102632364",0
"102632366",0
"102632367",0
"102632369",1
"102632372",0
"102632375",11
"102632376",1
"102632377",39
"102632378",0
"102632381",0
"102632384",0
"102632385",0
"102632387",0
"102632388",1
"102632389",3
"102632390",1
"102632391",1
"102632393",0
"102632398",3
"102632400",0
"102632401",0
"102632403",547
"102632404",2
"102632408",2
"102632411",1
"102632412",0
"102632414",6
"102632415",9
"102632418",7
"102632420",6
"102632423",0
"102632425",0
"102632426",12
"102632427",24
"102632429",11
"102632430",1
"102632432",0
"102632434",0
"102632435",12
"102632436",1
"102632438",13
"102632440",262
"102632441",0
"102632444",49
"102632448",0
"102632451",0
"102632452",0
"102632453",0
"102632454",1
"102632455",0
"102632457",0
"102632458",1
"102632460",0
"102632461",0
"102632462",38
"102632463",5
"102632464",0
"102632465",22
"102632466",0
"102632467",0
"102632468",0
"102632470",0
"102632472",0
"102632473",0
"102632477",8
"102632479",82
"102632481",3
"102632482",0
"102632483",15
"102632484",30
"102632488",14
"102632489",0
"102632490",2
"102632491",0
"102632492",0
"102632493",0
"102632496",1
"102632498",0
"102632499",0
"102632501",0
"102632502",0
"102632503",0
"102632505",0
"102632507",17
"102632511",0
"102632512",0
"102632513",1
"102632514",13
"102632515",0
"102632516",20
"102632520",0
"102632522",44
"102632530",1
"102632531",0
"102632532",3
"102632534",0
"102632535",1
"102632538",184
"102632540",0
"102632541",2
"102632542",0
"102632544",0
"102632547",0
"102632548",0
"102632554",1
"102632555",0
"102632557",0
"102632558",0
"102632559",0
"102632560",1
"102632561",2
"102632562",0
"102632563",10
"102632566",0
"102632568",14
"102632570",0
"102632571",2
"102632573",0
"102632577",0
"102632579",1
"102632580",1
"102632582",64
"102632584",0
"102632586",0
"102632589",0
"102632590",2
"102632594",27
"102632595",1
"102632597",5
"102632601",0
"102632602",1
"102632603",1
"102632604",0
"102632605",14
"102632606",0
"102632609",6
"102632611",1
"102632613",0
"102632617",0
"102632618",0
"102632621",54
"102632623",0
"102632628",2
"102632631",6
"102632632",0
"102632635",59
"102632638",14
"102632639",0
"102632640",0
"102632643",0
"102632645",0
"102632646",0
"102632654",0
"102632655",0
"102632657",0
"102632660",3
"102632663",0
"102632664",3
"102632665",0
"102632668",12
"102632669",11
"102632672",20
"102632673",0
"102632679",10
"102632681",13
"102632683",0
"102632684",0
"102632686",6
"102632687",0
"102632688",11
"102632689",0
"102632690",0
"102632693",7
"102632694",1
"102632697",0
"102632698",3
"102632700",0
"102632703",0
"102632707",7
"102632708",3
"102632712",0
"102632716",5
"102632717",0
"102632718",0
"102632720",4
"102632721",0
"102632722",8
"102632723",0
"102632727",18
"102632728",0
"102632730",0
"102632732",0
"102632733",0
"102632737",7
"102632738",6
"102632739",179
"102632740",0
"102632741",2
"102632742",0
"102632743",4
"102632745",0
"102632755",0
"102632756",0
"102632757",0
"102632763",0
"102632764",2
"102632766",0
"102632769",0
"102632772",5
"102632773",2
"102632776",4
"102632777",4
"102632779",0
"102632780",0
"102632781",0
"102632783",0
"102632785",0
"102632787",0
"102632789",2
"102632794",1
"102632800",0
"102632801",0
"102632803",0
"102632804",0
"102632805",11
"102632806",0
"102632807",5
"102632808",4
"102632809",0
"102632811",0
"102632812",37
"102632813",0
"102632814",0
"102632815",0
"102632816",2
"102632818",2
"102632820",8
"102632821",19
"102632822",0
"102632825",1
"102632827",25
"102632829",0
"102632831",0
"102632833",51
"102632835",0
"102632837",0
"102632838",4
"102632840",2
"102632843",2
"102632845",19
"102632847",1
"102632849",3
"102632853",0
"102632854",17
"102632856",0
"102632858",0
"102632860",0
"102632863",0
"102632865",73
"102632873",0
"102632874",5
"102632875",2
"102632876",1
"102632878",8
"102632880",0
"102632881",0
"102632886",0
"102632888",2
"102632891",18
"102632892",0
"102632893",49
"102632895",2
"102632897",0
"102632898",0
"102632901",1
"102632911",0
"102632914",32
"102632915",0
"102632920",1
"102632922",20
"102632923",2
"102632924",13
"102632926",15
"102632928",0
"102632930",0
"102632932",8
"102632934",7
"102632938",2
"102632939",0
"102632940",0
"102632942",0
"102632943",0
"102632944",1
"102632946",0
"102632947",0
"102632948",4
"102632950",1
"102632951",1
"102632954",15
"102632957",1
"102632958",0
"102632961",0
"102632962",9
"102632963",0
"102632964",1
"102632966",23
"102632967",0
"102632969",0
"102632970",0
"102632973",0
"102632974",0
"102632975",0
"102632980",1
"102632985",0
"102632986",0
"102632989",0
"102632990",4
"102632991",0
"102632992",2
"102632993",5
"102632994",12
"102632995",10
"102632998",1
"102632999",0
"102633000",19
"102633001",0
"102633002",0
"102633004",3
"102633007",6
"102633008",0
"102633009",3
"102633010",10
"102633011",0
"102633013",0
"102633014",0
"102633020",0
"102633025",0
"102633029",0
"102633030",3
"102633034",0
"102633035",0
"102633037",29
"102633039",0
"102633040",0
"102633042",0
"102633044",1
"102633046",0
"102633048",4
"102633049",0
"102633050",6
"102633051",0
"102633052",717
"102633053",0
"102633057",0
"102633060",0
"102633061",0
"102633065",0
"102633067",0
"102633068",7
"102633069",33
"102633070",4
"102633071",2
"102633075",5
"102633076",0
"102633077",1
"102633078",11
"102633079",0
"102633081",0
"102633083",0
"102633087",1
"102633088",0
"102633093",38
"102633095",2
"102633096",0
"102633097",5
"102633100",0
"102633102",0
"102633103",0
"102633104",0
"102633106",0
"102633107",11
"102633109",0
"102633110",0
"102633111",0
"102633118",0
"102633119",0
"102633129",0
"102633131",0
"102633132",2
"102633133",0
"102633140",0
"102633143",0
"102633144",1
"102633145",36
"102633146",0
"102633149",57
"102633151",107
"102633152",11
"102633155",0
"102633156",511
"102633157",1
"102633159",0
"102633160",0
"102633167",0
"102633169",0
"102633170",2
"102633171",1
"102633174",0
"102633177",2
"102633181",0
"102633185",30
"102633186",0
"102633189",0
"102633190",0
"102633192",0
"102633195",0
"102633197",0
"102633198",0
"102633199",66
"102633200",2
"102633202",0
"102633203",11
"102633204",0
"102633205",1
"102633208",1
"102633209",32
"102633211",10
"102633213",0
"102633214",14
"102633219",0
"102633220",0
"102633221",5
"102633224",0
"102633226",11
"102633229",2
"102633230",493
"102633233",12
"102633235",1
"102633236",6
"102633237",2
"102633240",4
"102633242",0
"102633243",8
"102633244",5
"102633245",5
"102633248",12
"102633249",0
"102633256",0
"102633257",2
"102633258",0
"102633259",0
"102633260",4
"102633261",0
"102633262",0
"102633263",1
"102633266",4
"102633269",6
"102633270",13
"102633271",7
"102633272",0
"102633273",0
"102633275",0
"102633277",3
"102633278",0
"102633279",1
"102633281",0
"102633283",32
"102633285",0
"102633286",0
"102633290",1
"102633293",1
"102633294",0
"102633296",1
"102633297",0
"102633300",72
"102633301",9
"102633302",28
"102633305",0
"102633306",0
"102633311",0
"102633312",1
"102633315",0
"102633316",0
"102633317",4
"102633320",2
"102633321",4
"102633322",11
"102633324",0
"102633327",1
"102633329",0
"102633331",2
"102633333",0
"102633334",0
"102633338",1
"102633340",0
"102633342",0
"102633345",0
"102633347",0
"102633348",6
"102633349",0
"102633353",0
"102633356",5
"102633358",0
"102633360",11
"102633361",0
"102633362",0
"102633368",0
"102633371",0
"102633372",0
"102633373",10
"102633381",0
"102633383",7
"102633384",0
"102633386",0
"102633388",1
"102633389",2
"102633390",0
"102633391",1
"102633392",6
"102633393",8
"102633396",4
"102633398",1
"102633399",0
"102633400",0
"102633401",0
"102633403",0
"102633405",0
"102633407",2
"102633409",3
"102633410",1
"102633411",3
"102633417",0
"102633419",18
"102633420",1
"102633422",62
"102633423",0
"102633424",196
"102633428",0
"102633429",0
"102633432",27
"102633433",6
"102633435",1
"102633436",0
"102633437",14
"102633438",16
"102633439",3
"102633440",0
"102633441",0
"102633443",0
"102633444",1
"102633445",9
"102633449",1
"102633457",0
"102633458",5
"102633459",0
"102633460",0
"102633463",0
"102633464",153
"102633466",23
"102633467",0
"102633468",1
"102633471",56
"102633472",0
"102633473",1
"102633474",32
"102633475",4
"102633476",0
"102633477",8
"102633478",1
"102633480",1
"102633481",0
"102633484",2
"102633486",3
"102633487",0
"102633491",0
"102633492",143
"102633495",0
"102633496",21
"102633498",10
"102633503",5
"102633504",0
"102633507",0
"102633508",0
"102633509",3
"102633510",0
"102633513",10
"102633515",0
"102633516",45
"102633517",0
"102633518",22
"102633520",0
"102633522",0
"102633524",0
"102633525",81
"102633526",5
"102633530",23
"102633532",6
"102633537",1
"102633540",6
"102633543",0
"102633545",0
"102633550",6
"102633551",19
"102633554",0
"102633555",13
"102633557",0
"102633559",0
"102633560",378
"102633562",1
"102633563",1
"102633571",0
"102633572",32
"102633573",9
"102633575",0
"102633576",1
"102633578",1
"102633579",18
"102633582",0
"102633583",0
"102633590",0
"102633591",3
"102633593",8
"102633598",0
"102633599",0
"102633600",12
"102633601",0
"102633603",7
"102633607",0
"102633608",0
"102633609",0
"102633615",1
"102633616",2
"102633617",0
"102633618",5
"102633622",22
"102633623",19
"102633624",5
"102633625",12
"102633626",0
"102633630",0
"102633632",0
"102633633",1
"102633634",14
"102633635",0
"102633636",5
"102633638",78
"102633639",1
"102633643",0
"102633646",1
"102633653",1
"102633657",0
"102633659",0
"102633660",0
"102633661",10
"102633663",1
"102633665",9
"102633666",19
"102633667",2
"102633668",0
"102633669",16
"102633673",9
"102633674",0
"102633676",106
"102633677",7
"102633681",0
"102633682",0
"102633686",2
"102633688",0
"102633690",0
"102633692",0
"102633693",5
"102633694",0
"102633697",2
"102633699",1
"102633702",0
"102633704",27
"102633705",0
"102633709",0
"102633712",0
"102633713",0
"102633714",0
"102633716",3
"102633720",1
"102633721",11
"102633724",15
"102633725",2
"102633730",1
"102633732",0
"102633737",6
"102633739",0
"102633740",2
"102633741",0
"102633742",0
"102633743",0
"102633744",0
"102633747",0
"102633749",0
"102633750",29
"102633751",0
"102633752",0
"102633753",0
"102633754",2
"102633755",0
"102633758",2
"102633760",0
"102633761",0
"102633762",1
"102633763",46
"102633768",0
"102633769",0
"102633770",0
"102633772",0
"102633773",6
"102633774",8
"102633775",32
"102633776",0
"102633779",9
"102633780",0
"102633781",8
"102633782",4
"102633783",0
"102633788",0
"102633789",0
"102633790",0
"102633792",17
"102633793",0
"102633795",0
"102633796",0
"102633799",0
"102633800",0
"102633805",0
"102633807",0
"102633809",0
"102633811",0
"102633814",0
"102633818",15
"102633819",0
"102633820",7
"102633823",0
"102633824",0
"102633825",0
"102633826",1
"102633828",0
"102633829",1
"102633831",0
"102633832",0
"102633833",7
"102633834",0
"102633835",0
"102633836",53
"102633838",2
"102633839",4
"102633845",0
"102633849",1
"102633851",0
"102633854",0
"102633856",0
"102633860",2
"102633861",9
"102633862",3
"102633863",3
"102633865",0
"102633867",5
"102633868",0
"102633870",0
"102633871",14
"102633872",2
"102633873",0
"102633874",3
"102633878",0
"102633879",0
"102633880",42
"102633885",0
"102633888",224
"102633891",0
"102633894",84
"102633896",0
"102633898",6
"102633899",22
"102633900",6
"102633901",3
"102633902",0
"102633904",0
"102633905",6
"102633906",0
"102633908",7
"102633911",0
"102633913",24
"102633914",5
"102633917",0
"102633918",0
"102633923",12
"102633924",0
"102633925",5
"102633926",0
"102633927",0
"102633928",0
"102633929",2
"102633930",2
"102633934",0
"102633935",0
"102633936",15
"102633937",0
"102633938",0
"102633939",164
"102633940",0
"102633941",0
"102633942",0
"102633943",6
"102633946",2
"102633947",1
"102633948",0
"102633949",0
"102633950",0
"102633951",3
"102633952",3
"102633953",1
"102633955",10
"102633956",0
"102633959",0
"102633960",0
"102633961",0
"102633964",0
"102633968",0
"102633970",0
"102633971",3
"102633974",79
"102633975",0
"102633977",0
"102633980",1
"102633981",0
"102633983",0
"102633984",1
"102633985",0
"102633986",0
"102633993",10
"102633994",0
"102633996",0
"102633997",0
"102633998",0
"102634000",43
"102634001",0
"102634002",8
"102634003",0
"102634006",0
"102634008",3
"102634011",15
"102634013",0
"102634016",0
"102634017",11
"102634020",0
"102634021",0
"102634022",0
"102634027",0
"102634028",0
"102634029",0
"102634030",0
"102634031",0
"102634034",2
"102634035",0
"102634036",1
"102634037",0
"102634042",2
"102634043",4
"102634044",11
"102634045",4
"102634047",0
"102634049",7
"102634050",0
"102634052",0
"102634054",6
"102634055",4
"102634056",7
"102634058",36
"102634060",7
"102634061",0
"102634064",6
"102634067",0
"102634068",6
"102634073",9
"102634074",0
"102634075",0
"102634076",24
"102634077",0
"102634078",81
"102634079",0
"102634082",0
"102634083",0
"102634084",0
"102634086",0
"102634087",0
"102634088",0
"102634089",0
"102634092",2
"102634093",0
"102634096",1
"102634099",0
"102634101",9
"102634107",1
"102634109",0
"102634110",0
"102634111",0
"102634113",1
"102634114",4
"102634115",4
"102634120",0
"102634123",0
"102634124",1
"102634125",1
"102634128",2
"102634132",124
"102634133",0
"102634134",0
"102634136",9
"102634140",47
"102634148",3
"102634149",0
"102634150",1
"102634151",0
"102634155",0
"102634159",0
"102634160",21
"102634161",18
"102634162",0
"102634163",0
"102634165",9
"102634167",0
"102634168",0
"102634169",0
"102634170",2
"102634171",3
"102634174",2
"102634175",0
"102634183",0
"102634184",1
"102634185",2
"102634187",0
"102634189",0
"102634191",15
"102634193",1
"102634194",5
"102634195",3
"102634198",2
"102634200",8
"102634201",0
"102634202",0
"102634204",0
"102634205",0
"102634207",0
"102634210",2
"102634211",0
"102634212",0
"102634213",30
"102634215",2
"102634217",0
"102634218",1
"102634227",8
"102634229",11
"102634235",1
"102634237",0
"102634238",0
"102634239",0
"102634240",5
"102634243",0
"102634249",0
"102634250",1
"102634251",5
"102634252",0
"102634254",0
"102634258",1
"102634261",0
"102634262",0
"102634265",0
"102634266",1
"102634267",3
"102634268",0
"102634269",0
"102634274",0
"102634275",2
"102634278",0
"102634280",0
"102634281",0
"102634282",1
"102634283",0
"102634284",0
"102634286",18
"102634287",0
"102634288",2
"102634291",0
"102634293",11
"102634296",4
"102634302",2
"102634303",1
"102634304",0
"102634309",194
"102634315",0
"102634318",0
"102634323",2
"102634325",0
"102634328",3
"102634330",1
"102634331",2
"102634332",0
"102634333",85
"102634339",0
"102634340",0
"102634341",55
"102634346",0
"102634348",0
"102634351",60
"102634353",0
"102634354",5
"102634356",0
"102634360",2
"102634362",0
"102634365",0
"102634366",8
"102634376",2
"102634377",0
"102634378",0
"102634380",2
"102634381",0
"102634384",0
"102634385",0
"102634387",0
"102634388",0
"102634389",3
"102634391",0
"102634392",1
"102634393",0
"102634394",4
"102634395",2
"102634396",0
"102634397",2
"102634398",1
"102634400",0
"102634401",0
"102634402",0
"102634405",1
"102634407",0
"102634411",0
"102634417",1
"102634418",1
"102634419",0
"102634420",3
"102634421",13
"102634422",0
"102634424",0
"102634425",2
"102634426",2
"102634428",33
"102634429",38
"102634431",13
"102634433",0
"102634434",1
"102634435",3
"102634438",0
"102634439",0
"102634441",0
"102634442",0
"102634445",12
"102634446",1
"102634447",0
"102634448",0
"102634450",15
"102634451",235
"102634455",5
"102634456",23
"102634460",0
"102634461",0
"102634468",0
"102634469",0
"102634473",0
"102634474",0
"102634475",0
"102634476",0
"102634480",0
"102634481",36
"102634484",2
"102634485",0
"102634487",16
"102634490",0
"102634491",0
"102634494",0
"102634496",3
"102634499",0
"102634500",4
"102634501",0
"102634502",127
"102634504",1
"102634507",4
"102634509",0
"102634511",1
"102634512",10
"102634513",0
"102634516",1
"102634519",0
"102634520",1
"102634523",1
"102634524",8
"102634525",0
"102634529",0
"102634531",2
"102634532",2
"102634533",8
"102634534",42
"102634535",2
"102634536",0
"102634541",6
"102634544",3
"102634545",7
"102634546",0
"102634547",1
"102634550",0
"102634553",0
"102634559",9
"102634560",0
"102634561",88
"102634563",4
"102634564",1
"102634569",3
"102634572",0
"102634574",0
"102634575",6
"102634576",0
"102634578",4
"102634580",1
"102634582",0
"102634584",2
"102634586",0
"102634588",3
"102634589",1
"102634592",35
"102634594",12
"102634596",0
"102634598",7
"102634600",0
"102634601",0
"102634602",3
"102634603",1
"102634607",1
"102634608",0
"102634610",0
"102634625",77
"102634628",2
"102634630",48
"102634633",0
"102634634",1
"102634635",0
"102634636",0
"102634639",0
"102634641",0
"102634642",72
"102634646",3
"102634649",0
"102634650",15
"102634651",8
"102634652",2
"102634653",20
"102634656",0
"102634657",0
"102634658",1
"102634661",1
"102634662",0
"102634664",0
"102634665",1
"102634667",0
"102634668",36
"102634670",1
"102634672",0
"102634676",13
"102634677",0
"102634678",10
"102634679",0
"102634680",2
"102634681",0
"102634683",7
"102634684",1
"102634685",1
"102634686",21
"102634688",15
"102634692",3
"102634697",0
"102634698",1
"102634701",0
"102634702",36
"102634708",0
"102634710",5
"102634711",0
"102634712",0
"102634713",0
"102634715",46
"102634716",14
"102634717",0
"102634718",1
"102634719",1
"102634722",1
"102634724",0
"102634725",0
"102634726",0
"102634730",1
"102634732",1
"102634734",0
"102634735",23
"102634737",10
"102634738",9
"102634743",0
"102634746",0
"102634748",1
"102634750",0
"102634752",1
"102634753",0
"102634755",138
"102634756",253
"102634757",5
"102634761",0
"102634762",13
"102634765",6
"102634769",17
"102634772",61
"102634773",0
"102634775",10
"102634776",0
"102634777",2
"102634778",7
"102634780",20
"102634781",0
"102634782",0
"102634783",0
"102634785",0
"102634786",1
"102634790",0
"102634792",1
"102634793",1
"102634795",11
"102634798",0
"102634803",0
"102634806",2
"102634807",0
"102634809",2
"102634811",12
"102634812",4
"102634815",4
"102634817",0
"102634818",5
"102634820",18
"102634821",28
"102634823",1
"102634825",0
"102634826",0
"102634827",1
"102634830",0
"102634835",11
"102634836",0
"102634837",3
"102634838",0
"102634839",14
"102634841",10
"102634842",0
"102634844",3
"102634846",0
"102634847",1
"102634848",5
"102634849",4
"102634850",69
"102634851",0
"102634852",0
"102634853",0
"102634857",0
"102634858",12
"102634860",0
"102634862",1
"102634865",13
"102634869",0
"102634871",0
"102634872",0
"102634873",30
"102634874",4
"102634877",0
"102634878",0
"102634880",0
"102634882",0
"102634883",0
"102634885",0
"102634887",41
"102634888",15
"102634889",0
"102634895",6
"102634896",2
"102634899",0
"102634900",2
"102634903",0
"102634904",1
"102634905",0
"102634906",8
"102634909",0
"102634910",2
"102634911",5
"102634912",3
"102634913",7
"102634918",1
"102634919",2
"102634922",89
"102634923",7
"102634926",21
"102634931",10
"102634933",819
"102634934",0
"102634940",0
"102634943",0
"102634944",158
"102634945",1
"102634946",0
"102634949",5
"102634950",0
"102634952",0
"102634953",30
"102634954",12
"102634962",11
"102634964",0
"102634966",3
"102634967",1
"102634968",0
"102634970",0
"102634971",0
"102634973",0
"102634976",0
"102634980",0
"102634982",1
"102634983",63
"102634985",0
"102634986",3
"102634987",0
"102634988",0
"102634989",0
"102634991",3
"102634992",0
"102634993",1
"102634994",0
"102635003",1
"102635004",9
"102635006",6
"102635011",0
"102635012",0
"102635013",0
"102635017",7
"102635020",0
"102635021",0
"102635024",0
"102635025",1
"102635028",2
"102635029",0
"102635032",0
"102635034",0
"102635036",0
"102635037",2
"102635039",0
"102635041",0
"102635042",0
"102635043",0
"102635044",0
"102635045",0
"102635046",0
"102635047",290
"102635050",0
"102635051",0
"102635054",2
"102635057",4
"102635059",1
"102635060",0
"102635065",0
"102635066",10
"102635067",0
"102635068",0
"102635069",77
"102635070",3
"102635071",154
"102635072",0
"102635078",0
"102635079",5
"102635080",0
"102635081",3
"102635083",0
"102635085",10
"102635086",122
"102635087",0
"102635088",0
"102635090",2
"102635092",0
"102635095",0
"102635104",1
"102635108",37
"102635109",2
"102635111",0
"102635112",0
"102635113",0
"102635114",0
"102635115",3
"102635117",0
"102635119",0
"102635120",0
"102635123",11
"102635124",0
"102635125",0
"102635126",18
"102635128",12
"102635129",40
"102635130",0
"102635131",12
"102635133",104
"102635134",8
"102635135",0
"102635136",8
"102635137",1
"102635138",1
"102635141",0
"102635142",11
"102635143",1
"102635144",0
"102635146",0
"102635149",0
"102635152",0
"102635154",0
"102635155",0
"102635157",1
"102635158",0
"102635160",14
"102635163",0
"102635165",0
"102635167",0
"102635169",0
"102635170",7
"102635171",35
"102635173",11
"102635174",5
"102635176",0
"102635178",0
"102635181",21
"102635182",2
"102635184",0
"102635185",17
"102635188",1
"102635189",1
"102635190",11
"102635191",0
"102635192",80
"102635194",0
"102635196",0
"102635197",1
"102635200",7
"102635202",0
"102635203",0
"102635206",0
"102635209",36
"102635210",19
"102635216",5
"102635220",0
"102635225",0
"102635226",51
"102635229",3
"102635230",0
"102635231",6
"102635232",0
"102635233",0
"102635237",0
"102635240",0
"102635241",0
"102635242",7
"102635243",14
"102635247",1
"102635252",0
"102635253",7
"102635254",0
"102635256",0
"102635257",26
"102635258",0
"102635259",3
"102635260",0
"102635261",0
"102635262",2
"102635264",4
"102635265",29
"102635266",0
"102635268",11
"102635269",11
"102635272",6
"102635274",0
"102635276",3
"102635277",8
"102635278",93
"102635279",0
"102635280",26
"102635281",0
"102635283",0
"102635284",0
"102635286",2
"102635288",0
"102635290",100
"102635293",1
"102635296",0
"102635299",0
"102635302",0
"102635303",0
"102635304",0
"102635305",63
"102635306",77
"102635307",0
"102635308",0
"102635309",0
"102635310",0
"102635311",0
"102635315",88
"102635316",1
"102635317",3
"102635321",0
"102635323",12
"102635324",0
"102635326",1
"102635333",0
"102635334",0
"102635335",2
"102635336",2
"102635337",7
"102635340",0
"102635344",0
"102635345",0
"102635346",1
"102635347",3
"102635349",0
"102635352",0
"102635354",33
"102635357",87
"102635359",24
"102635360",8
"102635361",2
"102635362",1
"102635364",4
"102635366",5
"102635368",0
"102635370",0
"102635371",2
"102635372",0
"102635376",0
"102635378",0
"102635379",0
"102635380",6
"102635381",3
"102635383",1
"102635384",3
"102635385",0
"102635387",1
"102635391",0
"102635392",5
"102635395",0
"102635396",0
"102635397",0
"102635402",2
"102635403",1
"102635405",0
"102635406",23
"102635408",1
"102635409",0
"102635415",0
"102635418",0
"102635419",0
"102635421",0
"102635424",0
"102635426",12
"102635427",0
"102635428",12
"102635429",12
"102635431",3
"102635432",99
"102635433",0
"102635434",9
"102635437",3
"102635441",20
"102635444",0
"102635448",0
"102635453",14
"102635455",5
"102635456",0
"102635458",41
"102635459",5
"102635461",192
"102635463",4
"102635464",0
"102635466",2
"102635467",0
"102635468",2
"102635471",0
"102635472",0
"102635473",77
"102635474",0
"102635478",1
"102635479",32
"102635484",61
"102635485",2
"102635491",8
"102635493",1
"102635494",1
"102635495",16
"102635496",4
"102635498",11
"102635500",13
"102635502",33
"102635503",16
"102635504",0
"102635505",0
"102635506",5
"102635509",8
"102635512",3
"102635513",0
"102635514",0
"102635516",0
"102635519",0
"102635520",3
"102635521",0
"102635522",12
"102635524",2
"102635526",6
"102635528",0
"102635529",0
"102635530",0
"102635531",0
"102635534",1
"102635536",0
"102635537",0
"102635538",0
"102635539",7
"102635541",124
"102635542",0
"102635543",0
"102635544",1
"102635549",2
"102635550",18
"102635552",212
"102635553",78
"102635554",2
"102635555",1
"102635558",0
"102635559",0
"102635561",28
"102635566",5
"102635567",1
"102635569",3
"102635575",2
"102635576",0
"102635577",0
"102635578",2
"102635580",0
"102635581",0
"102635582",0
"102635583",0
"102635584",0
"102635588",12
"102635590",1
"102635592",0
"102635593",14
"102635594",0
"102635595",0
"102635597",1
"102635602",0
"102635603",1
"102635605",19
"102635606",1
"102635607",0
"102635609",3
"102635610",2
"102635613",4
"102635616",2
"102635617",0
"102635619",8
"102635621",0
"102635624",3
"102635625",0
"102635626",0
"102635627",0
"102635628",1
"102635629",1
"102635630",52
"102635632",0
"102635633",0
"102635635",23
"102635637",0
"102635639",22
"102635640",0
"102635641",2
"102635643",10
"102635644",0
"102635646",1
"102635648",6
"102635649",2
"102635650",0
"102635654",4
"102635655",0
"102635656",21
"102635658",2
"102635661",169
"102635662",0
"102635663",7
"102635665",0
"102635666",4
"102635667",1
"102635670",27
"102635671",2
"102635675",1
"102635677",0
"102635678",0
"102635680",7
"102635681",0
"102635682",1
"102635683",1
"102635685",26
"102635687",0
"102635688",3
"102635693",0
"102635694",0
"102635696",0
"102635697",0
"102635698",11
"102635699",72
"102635702",2
"102635703",94
"102635707",74
"102635711",0
"102635712",12
"102635722",3
"102635723",4
"102635725",0
"102635727",0
"102635729",0
"102635731",21
"102635733",1
"102635735",0
"102635736",2
"102635737",0
"102635743",1
"102635744",32
"102635746",0
"102635747",5
"102635748",0
"102635749",0
"102635750",0
"102635751",0
"102635752",0
"102635756",9
"102635758",0
"102635759",1
"102635760",1
"102635763",0
"102635764",0
"102635765",0
"102635768",0
"102635769",1
"102635771",0
"102635772",8
"102635773",0
"102635774",0
"102635775",28
"102635776",3
"102635778",1
"102635779",0
"102635780",18
"102635781",772
"102635783",46
"102635786",10
"102635787",0
"102635788",25
"102635789",0
"102635791",0
"102635792",1
"102635793",0
"102635794",0
"102635795",4
"102635796",2
"102635797",20
"102635798",27
"102635799",12
"102635800",7
"102635801",1
"102635802",3
"102635803",3
"102635804",0
"102635805",0
"102635807",0
"102635808",1
"102635809",0
"102635811",2
"102635812",0
"102635813",0
"102635815",0
"102635821",1
"102635822",0
"102635826",4
"102635827",0
"102635830",0
"102635831",2
"102635832",0
"102635834",1
"102635836",0
"102635837",0
"102635843",8
"102635845",0
"102635846",1
"102635847",0
"102635851",0
"102635852",0
"102635853",0
"102635854",0
"102635859",0
"102635862",0
"102635867",27
"102635868",6
"102635869",0
"102635870",1
"102635873",11
"102635874",0
"102635876",0
"102635877",0
"102635879",18
"102635880",0
"102635881",9
"102635882",24
"102635884",1
"102635886",0
"102635888",0
"102635894",0
"102635895",0
"102635896",1
"102635898",7
"102635901",1
"102635903",0
"102635904",0
"102635905",0
"102635906",0
"102635908",0
"102635909",0
"102635911",0
"102635912",34
"102635915",0
"102635920",0
"102635921",2
"102635927",1
"102635928",0
"102635929",0
"102635932",0
"102635933",0
"102635934",0
"102635935",0
"102635936",23
"102635937",1
"102635938",0
"102635939",0
"102635940",0
"102635942",0
"102635943",0
"102635944",13
"102635945",0
"102635946",3
"102635948",8
"102635950",0
"102635951",0
"102635952",4
"102635954",2
"102635955",0
"102635957",0
"102635958",1
"102635960",1
"102635961",0
"102635966",0
"102635967",0
"102635968",0
"102635970",0
"102635971",0
"102635972",0
"102635975",0
"102635976",0
"102635977",0
"102635981",0
"102635983",3
"102635985",0
"102635987",3
"102635989",3
"102635990",1
"102635992",0
"102635993",0
"102635994",16
"102635996",0
"102636000",42
"102636002",5
"102636003",0
"102636004",0
"102636005",0
"102636006",0
"102636007",0
"102636008",0
